threshold,density,success,time_ms,selected,trial
0.25,0.20000000000000004,True,84.11145210266113,RRT*,5
0.25,0.20000000000000004,True,7.6274871826171875,RRT*,6
0.25,0.20000000000000004,True,19.272565841674805,RRT*,7
0.25,0.20000000000000004,True,56.38313293457031,RRT*,8
0.25,0.20000000000000004,False,41.260719299316406,RRT*,9
0.25,0.20000000000000004,True,8.724689483642578,RRT*,10
0.25,0.20000000000000004,True,36.086320877075195,RRT*,11
0.25,0.20000000000000004,True,10.999441146850586,RRT*,12
0.25,0.20000000000000004,True,78.84430885314941,RRT*,13
0.25,0.20000000000000004,True,7.917642593383789,RRT*,14
0.25,0.20000000000000004,False,46.57936096191406,RRT*,15
0.25,0.20000000000000004,True,21.097183227539062,RRT*,16
0.25,0.20000000000000004,True,52.065372467041016,RRT*,17
0.25,0.20000000000000004,True,2.8107166290283203,RRT*,18
0.25,0.20000000000000004,True,10.752201080322266,RRT*,19
0.25,0.20000000000000004,True,4.284858703613281,RRT*,20
0.25,0.20000000000000004,True,161.32473945617676,RRT*,21
0.25,0.20000000000000004,False,46.198129653930664,RRT*,22
0.25,0.20000000000000004,True,47.59550094604492,RRT*,23
0.25,0.20000000000000004,True,20.84803581237793,RRT*,24
0.25,0.20000000000000004,False,47.36495018005371,RRT*,25
0.25,0.20000000000000004,True,7.689476013183594,RRT*,26
0.25,0.20000000000000004,True,71.83098793029785,RRT*,27
0.25,0.20000000000000004,True,64.3308162689209,RRT*,28
0.25,0.20000000000000004,True,10.178327560424805,RRT*,29
0.25,0.20000000000000004,False,47.683000564575195,RRT*,30
0.25,0.20000000000000004,True,9.399175643920898,RRT*,31
0.25,0.20000000000000004,True,5.558967590332031,RRT*,32
0.25,0.20000000000000004,True,22.45783805847168,RRT*,33
0.25,0.20000000000000004,False,43.715476989746094,RRT*,34
0.25,0.20000000000000004,False,43.47372055053711,RRT*,35
0.25,0.20000000000000004,True,33.36834907531738,RRT*,36
0.25,0.20000000000000004,True,23.071765899658203,RRT*,37
0.25,0.20000000000000004,True,78.03130149841309,RRT*,38
0.25,0.20000000000000004,True,28.961896896362305,RRT*,39
0.25,0.20000000000000004,True,122.35617637634277,RRT*,40
0.25,0.20000000000000004,True,77.38065719604492,RRT*,41
0.25,0.20000000000000004,True,4.82177734375,RRT*,42
0.25,0.20000000000000004,True,3.41796875,RRT*,43
0.25,0.20000000000000004,True,72.72553443908691,RRT*,44
0.25,0.20000000000000004,True,11.228561401367188,RRT*,45
0.25,0.20000000000000004,True,36.63372993469238,RRT*,46
0.25,0.20000000000000004,True,2.4597644805908203,RRT*,47
0.25,0.20000000000000004,True,16.360998153686523,RRT*,48
0.25,0.20000000000000004,True,13.741493225097656,RRT*,49
0.25,0.25000000000000006,True,10.116846034193706,PPO,0
0.25,0.25000000000000006,True,10.40515446010767,PPO,1
0.25,0.25000000000000006,True,7.03103279785276,PPO,2
0.25,0.25000000000000006,False,8.286550149538124,PPO,3
0.25,0.25000000000000006,False,7.137382004537195,PPO,4
0.25,0.25000000000000006,True,11.407618469017699,PPO,5
0.25,0.25000000000000006,False,8.855116571306793,PPO,6
0.25,0.25000000000000006,True,11.72268818365215,PPO,7
0.25,0.25000000000000006,True,9.380058777157366,PPO,8
0.25,0.25000000000000006,True,10.385716066855194,PPO,9
0.25,0.25000000000000006,True,12.986517092047222,PPO,10
0.25,0.25000000000000006,True,12.585383978657767,PPO,11
0.25,0.25000000000000006,True,9.687284823099686,PPO,12
0.25,0.25000000000000006,True,11.662413310030736,PPO,13
0.25,0.25000000000000006,True,11.734649164809715,PPO,14
0.25,0.25000000000000006,False,10.943013333687828,PPO,15
0.25,0.25000000000000006,True,15.167052777501524,PPO,16
0.25,0.25000000000000006,False,9.902235348667753,PPO,17
0.25,0.25000000000000006,True,9.882608596977937,PPO,18
0.25,0.25000000000000006,True,13.213632076621185,PPO,19
0.25,0.25000000000000006,True,11.5499890276868,PPO,20
0.25,0.25000000000000006,True,6.74454254597501,PPO,21
0.25,0.25000000000000006,False,10.256021528138309,PPO,22
0.25,0.25000000000000006,True,13.155136815245916,PPO,23
0.25,0.25000000000000006,True,11.773108156587389,PPO,24
0.25,0.25000000000000006,True,7.299319487050315,PPO,25
0.25,0.25000000000000006,True,16.945572527946112,PPO,26
0.25,0.25000000000000006,True,10.986603312655395,PPO,27
0.25,0.25000000000000006,True,10.699836036038572,PPO,28
0.25,0.25000000000000006,False,13.385741679994515,PPO,29
0.25,0.25000000000000006,True,15.545382624039693,PPO,30
0.25,0.25000000000000006,True,13.823259740554747,PPO,31
0.25,0.25000000000000006,True,8.185118026994607,PPO,32
0.25,0.25000000000000006,True,8.150275843604827,PPO,33
0.25,0.25000000000000006,True,11.638794360099716,PPO,34
0.25,0.25000000000000006,True,11.884990651850671,PPO,35
0.25,0.25000000000000006,True,5.0,PPO,36
0.25,0.25000000000000006,False,13.763415511731981,PPO,37
0.25,0.25000000000000006,True,8.564220426331964,PPO,38
0.25,0.25000000000000006,True,10.05753477301447,PPO,39
0.25,0.25000000000000006,True,12.40242120112317,PPO,40
0.25,0.25000000000000006,True,12.71084977179219,PPO,41
0.25,0.25000000000000006,True,10.27629660086101,PPO,42
0.25,0.25000000000000006,True,10.578922814281142,PPO,43
0.25,0.25000000000000006,True,8.633500304418565,PPO,44
0.25,0.25000000000000006,True,7.148150408031061,PPO,45
0.25,0.25000000000000006,True,11.349176372461264,PPO,46
0.25,0.25000000000000006,False,10.968109272302476,PPO,47
0.25,0.25000000000000006,False,13.144315030377049,PPO,48
0.25,0.25000000000000006,True,11.11520038127829,PPO,49
0.25,0.30000000000000004,True,11.026429009771856,PPO,0
0.25,0.30000000000000004,False,12.764229928695546,PPO,1
0.25,0.30000000000000004,False,6.711826167201791,PPO,2
0.25,0.30000000000000004,True,12.550130679659402,PPO,3
0.25,0.30000000000000004,False,12.793884628506328,PPO,4
0.25,0.30000000000000004,True,9.183159751214182,PPO,5
0.25,0.30000000000000004,True,13.901160173300365,PPO,6
0.25,0.30000000000000004,True,7.2354855827524664,PPO,7
0.25,0.30000000000000004,True,12.61370432041949,PPO,8
0.25,0.30000000000000004,True,8.588623968153895,PPO,9
0.25,0.30000000000000004,True,8.97870277454529,PPO,10
0.25,0.30000000000000004,True,18.751489116080585,PPO,11
0.25,0.30000000000000004,True,11.314639785207298,PPO,12
0.25,0.30000000000000004,True,13.088894521765228,PPO,13
0.25,0.30000000000000004,True,11.499693673813434,PPO,14
