trial,world,rho0,used_astar,astar,bc,adaptive,astar_route_efficiency,bc_route_efficiency,adaptive_route_efficiency,astar_decision_ms,bc_decision_ms,adaptive_decision_ms
1186,sparse,0.3694,False,1,1,1,0.8834,0.8675,0.8675,0.6127,0.5561,0.5439
1187,dense,0.7917,False,1,1,1,0.7327,0.9637,0.9637,1.6875,0.8929,0.8825
1188,dense,0.4194,False,1,1,1,0.8132,0.8367,0.8367,1.5595,0.9532,0.9474
1189,sparse,0.2167,True,1,1,1,0.7762,0.7343,0.7762,0.8674,0.7252,0.8519
1190,dense,0.4083,False,1,1,1,0.8593,1.2372,1.2372,0.8824,0.5728,0.5711
1191,sparse,0.2028,True,1,1,1,0.8298,0.8832,0.8298,0.6814,0.5590,0.6797
1192,sparse,0.5000,False,1,1,1,0.8357,0.8202,0.8202,0.6262,0.5468,0.5445
1193,very_dense,0.6194,False,1,1,1,,,,2.2016,1.0729,1.0463
1194,dense,0.3528,False,1,1,1,0.9236,1.0308,1.0308,0.9460,0.6843,0.6808
1195,dense,0.7806,False,1,0,0,0.7626,1.0625,1.0625,1.4601,0.5105,0.5092
1196,very_dense,0.8583,False,1,0,0,0.9203,0.5399,0.5399,0.9715,0.6248,0.6158
1197,very_dense,0.8250,False,0,0,0,0.1704,0.7648,0.7648,4.1258,0.6055,0.6014
1198,very_dense,0.7333,False,1,1,1,0.8806,1.0747,1.0747,1.0835,0.7649,0.7599
1199,dense,0.8056,False,1,1,1,0.8310,0.8856,0.8856,1.1971,0.8107,0.8079
1200,very_dense,0.8583,False,0,0,0,0.0523,0.3091,0.3091,5.1439,0.6185,0.6044
1201,dense,0.7722,False,1,1,1,0.8606,0.9598,0.9598,0.9754,0.7179,0.6956
1202,very_dense,0.8583,False,0,0,0,0.2633,0.4025,0.4025,1.4563,0.6275,0.6337
1203,very_dense,0.6556,False,1,1,1,0.8445,1.6798,1.6798,1.5534,0.6119,0.6055
1204,dense,0.6528,False,1,1,1,0.8683,0.9267,0.9267,1.0832,0.7549,0.7473
1205,very_dense,0.8972,False,0,0,0,0.1222,0.4332,0.4332,2.5365,0.6139,0.6122
1206,dense,0.6750,False,1,1,1,0.7926,1.1196,1.1196,1.4708,0.8383,0.8347
1207,very_dense,0.7306,False,1,1,1,0.8504,0.9720,0.9720,1.4342,0.9134,0.9126
1208,sparse,0.2389,True,1,1,1,0.8677,0.8571,0.8677,0.6404,0.5566,0.6390
1209,very_dense,0.8083,False,1,0,0,0.8858,0.5768,0.5768,1.0949,0.6157,0.6169
1210,dense,0.5750,False,1,1,1,0.7757,0.7816,0.7816,1.8517,1.1411,1.1242
1211,very_dense,0.8639,False,1,0,0,0.8175,1.1053,1.1053,1.6943,0.6145,0.6129
1212,dense,0.7917,False,1,1,1,0.7642,0.7759,0.7759,2.0345,1.1826,1.1749
1213,very_dense,0.7556,False,0,0,0,0.4454,0.4856,0.4856,1.4756,0.6241,0.6118
1214,sparse,0.2028,True,1,1,1,0.8569,0.8357,0.8569,0.6094,0.5480,0.6183
1215,sparse,0.4056,False,1,1,1,0.8912,0.8789,0.8789,0.4952,0.4717,0.4663
1216,dense,0.5861,False,1,1,1,0.4834,0.5428,0.5428,3.4651,1.6607,1.6639
1217,very_dense,0.6028,False,1,1,1,0.8007,0.8914,0.8914,2.1879,1.2938,1.2702
1218,very_dense,0.8472,False,1,0,0,0.8396,0.8765,0.8765,1.4257,0.6008,0.5999
1219,dense,0.6806,False,1,1,1,0.8233,0.9834,0.9834,1.3991,0.8665,0.8849
1220,dense,0.6417,False,1,1,1,0.8264,1.0968,1.0968,0.9810,0.6436,0.6387
1221,dense,0.5972,False,1,1,1,0.5483,0.7670,0.7670,3.1542,1.4457,1.4672
1222,very_dense,0.6417,False,1,1,1,0.8124,1.1644,1.1644,1.8648,0.9539,0.9533
1223,dense,0.4806,False,1,1,1,0.8125,0.7768,0.7768,1.5477,1.0717,1.0896
1224,dense,0.4667,False,1,1,1,0.8370,1.0590,1.0590,1.0139,0.6655,0.6638
1225,very_dense,0.5972,False,1,1,1,0.7980,0.8802,0.8802,1.8676,1.0750,1.0729
1226,sparse,0.5389,False,1,1,1,0.7233,0.7054,0.7054,1.0088,0.7598,0.7492
1227,very_dense,0.8583,False,1,0,0,0.8403,0.4759,0.4759,0.9874,0.6030,0.6042
1228,sparse,0.3778,False,1,1,1,0.8805,0.9023,0.9023,0.5174,0.4651,0.4678
1229,sparse,0.4028,False,1,1,1,0.8466,0.8295,0.8295,0.5577,0.4985,0.4944
1230,very_dense,0.9139,False,0,0,0,0.2248,0.4125,0.4125,1.8327,0.6173,0.6163
1231,very_dense,0.7417,False,1,1,1,0.8543,1.1377,1.1377,1.1756,0.6549,0.6629
1232,very_dense,0.8917,False,1,1,1,0.8817,0.8978,0.8978,1.3439,0.9350,0.9089
1233,very_dense,0.8861,False,0,0,0,0.7244,0.3226,0.3226,0.8255,0.6352,0.6734
1234,dense,0.6806,False,1,0,0,0.7192,1.4744,1.4744,2.2512,0.5610,0.5543
1235,dense,0.7194,False,1,1,1,0.8571,1.0350,1.0350,0.9967,0.6784,0.6618
1236,sparse,0.5472,False,1,1,1,0.8459,0.8695,0.8695,0.5936,0.5119,0.5078
1237,sparse,0.3167,False,1,1,1,0.8752,0.8925,0.8925,0.5254,0.4805,0.4756
1238,sparse,0.2056,True,1,1,1,0.8150,0.8066,0.8150,0.9243,0.7234,0.9157
1239,sparse,0.2972,True,1,1,1,0.7654,0.7715,0.7654,0.6942,0.5785,0.6935
1240,dense,0.7750,False,1,1,1,0.7754,0.8901,0.8901,1.3214,0.8620,0.8554
1241,very_dense,0.8556,False,0,0,0,0.2263,0.1919,0.1919,1.5026,0.6335,0.6322
1242,very_dense,0.7556,False,1,1,1,0.9164,1.0585,1.0585,1.0074,0.7164,0.7087
1243,dense,0.9139,False,1,1,1,0.7976,0.9394,0.9394,1.4372,0.8557,0.8566
1244,very_dense,0.7417,False,1,1,1,0.8210,0.9077,0.9077,1.7079,1.0283,1.0475
1245,very_dense,0.8944,False,1,0,0,0.8196,0.9336,0.9336,1.5074,0.6099,0.6165
1246,very_dense,0.8667,False,1,1,1,0.8621,1.1553,1.1553,1.2014,0.7358,0.7328
1247,dense,0.6611,False,1,1,1,0.7827,0.8472,0.8472,1.3126,0.8764,0.8668
1248,sparse,0.1583,True,1,1,1,0.6767,0.6926,0.6767,1.0043,0.7501,1.0090
1249,very_dense,0.9194,False,1,1,1,0.8889,0.9584,0.9584,1.0090,0.7423,0.7370
1250,sparse,0.3500,False,1,1,1,0.8098,0.7960,0.7960,0.7256,0.6125,0.6078
1251,dense,0.7056,False,1,1,1,0.9013,0.9759,0.9759,0.8470,0.6404,0.6396
1252,sparse,0.2222,True,1,1,1,0.9025,0.8743,0.9025,0.5380,0.4870,0.5341
1253,very_dense,0.7528,False,1,0,0,0.8869,0.3889,0.3889,0.9333,0.6071,0.6045
1254,dense,0.6167,False,1,1,1,0.8075,1.0139,1.0139,1.4314,0.8342,0.8276
1255,sparse,0.4000,False,1,1,1,0.8085,0.9852,0.9852,0.6196,0.5035,0.4898
1256,sparse,0.3250,False,1,1,1,0.8574,0.9182,0.9182,0.5392,0.4725,0.4732
1257,dense,0.4944,False,1,1,1,0.7967,0.8758,0.8758,1.6069,1.0036,0.9962
1258,dense,0.5750,False,1,1,1,0.7753,0.8648,0.8648,1.4737,0.9269,0.9093
1259,very_dense,0.8583,False,1,0,0,0.8155,0.7700,0.7700,1.4041,0.5997,0.5984
1260,sparse,0.4111,False,1,1,1,0.9056,0.9357,0.9357,0.5114,0.4694,0.4606
1261,very_dense,0.6861,False,1,1,1,0.9019,0.9902,0.9902,1.2976,0.8385,0.8447
1262,dense,0.4000,False,1,1,1,0.8748,0.9500,0.9500,0.9282,0.6883,0.6802
1263,very_dense,0.8000,False,1,0,0,0.7136,1.9527,1.9527,2.7139,0.5925,0.6076
