trial,world,rho0,used_astar,astar,bc,adaptive,astar_route_efficiency,bc_route_efficiency,adaptive_route_efficiency,astar_decision_ms,bc_decision_ms,adaptive_decision_ms
113,dense,0.4306,False,1,1,1,0.8044,0.7980,0.7980,1.4049,0.9756,0.9651
114,dense,0.6556,False,1,1,1,0.8658,1.0001,1.0001,0.8693,0.6275,0.6215
115,dense,0.4694,False,1,1,1,0.8242,0.9263,0.9263,1.5222,0.8949,0.8875
116,sparse,0.2361,True,1,1,1,0.8872,0.9142,0.8872,0.5110,0.4567,0.4994
117,sparse,0.3389,False,1,1,1,0.8778,1.0179,1.0179,0.5039,0.4398,0.4293
118,sparse,0.3028,False,1,1,1,0.8955,0.9082,0.9082,0.4507,0.4198,0.4162
119,sparse,0.5639,False,1,1,1,0.8310,0.8613,0.8613,0.5698,0.4784,0.4738
120,dense,0.6806,False,1,1,1,0.8404,1.0303,1.0303,1.0367,0.6507,0.6503
121,very_dense,0.8500,False,1,1,1,0.8742,1.0154,1.0154,0.9852,0.6829,0.6808
122,dense,0.6111,False,1,1,1,0.8203,0.9184,0.9184,1.1377,0.7642,0.7545
123,dense,0.8111,False,1,1,1,0.7249,0.7847,0.7847,1.9128,1.1094,1.1343
124,very_dense,0.8083,False,0,1,1,0.5777,0.1894,0.1894,0.8809,1.0612,1.0183
125,dense,0.7722,False,1,1,1,0.8550,0.9714,0.9714,1.1394,0.7246,0.7248
126,sparse,0.4694,False,1,1,1,0.8954,0.8852,0.8852,0.5288,0.4856,0.4796
127,very_dense,0.9139,False,1,0,0,0.8663,0.8694,0.8694,0.9705,0.5754,0.5906
128,dense,0.4222,False,1,1,1,0.8124,0.8394,0.8394,1.5457,1.0140,1.0040
129,dense,0.4944,False,1,1,1,0.6203,0.6497,0.6497,3.0626,1.8279,1.8039
130,dense,0.8028,False,1,0,0,0.8759,1.1045,1.1045,0.8785,0.5065,0.5062
131,dense,0.7194,False,0,1,1,0.3686,0.9142,0.9142,1.4416,0.6736,0.6710
132,sparse,0.2028,True,1,1,1,0.8716,0.9411,0.8716,0.6731,0.5377,0.6672
133,dense,0.6361,False,1,1,1,0.7965,0.8179,0.8179,1.2992,0.8771,0.8678
134,very_dense,0.7528,False,0,0,0,0.6098,0.9649,0.9649,1.4141,0.5759,0.5708
135,sparse,0.2000,True,1,1,1,0.8608,0.9036,0.8608,0.6174,0.5089,0.6134
136,dense,0.5806,False,1,1,1,0.7844,1.0198,1.0198,1.6897,0.8426,0.8349
137,sparse,0.4472,False,1,1,1,0.8805,0.9408,0.9408,0.5230,0.4541,0.4541
138,dense,0.4472,False,1,1,1,0.7935,0.7586,0.7586,1.5087,1.0664,1.0709
139,dense,0.4806,False,1,1,1,0.8406,0.9949,0.9949,1.0801,0.7147,0.7096
140,very_dense,0.6639,False,1,1,1,0.7467,0.9617,0.9617,2.6258,1.2064,1.1992
141,sparse,0.4361,False,1,1,1,0.9046,0.9800,0.9800,0.4945,0.4379,0.4348
142,sparse,0.1917,True,1,1,1,0.8923,1.0241,0.8923,0.4739,0.4176,0.4676
143,dense,0.7778,False,1,1,1,0.7881,0.9510,0.9510,1.0835,0.7139,0.7201
144,very_dense,0.8556,False,0,0,0,0.6928,0.2382,0.2382,1.2772,0.6042,0.6739
145,very_dense,0.6694,False,1,1,1,0.7949,0.9445,0.9445,1.6621,0.9727,0.9336
146,sparse,0.7528,False,1,1,1,0.8763,0.9192,0.9192,0.4874,0.4331,0.4280
147,sparse,0.7417,False,1,1,1,0.8876,0.9542,0.9542,0.4519,0.4177,0.4165
148,very_dense,0.8556,False,1,1,1,0.8110,0.8630,0.8630,1.3561,0.9270,0.9200
149,sparse,0.1528,True,1,1,1,0.8784,1.0148,0.8784,0.5572,0.4630,0.5488
150,very_dense,0.7333,False,1,1,1,0.8050,0.9302,0.9302,2.1299,1.0866,1.0841
151,sparse,0.4222,False,1,1,1,0.7297,0.7925,0.7925,1.0542,0.7250,0.7121
152,very_dense,0.9000,False,1,1,1,0.8581,1.3345,1.3345,1.1438,0.6783,0.6758
153,sparse,0.7778,False,1,1,1,0.8846,1.0169,1.0169,0.4472,0.4071,0.4022
154,dense,0.3361,False,1,1,1,0.7111,0.6787,0.6787,1.8310,1.2359,1.2195
155,dense,0.7194,False,1,1,1,0.8706,0.9810,0.9810,0.8399,0.6195,0.6146
156,sparse,0.4361,False,1,1,1,0.8339,0.8437,0.8437,0.7273,0.5765,0.5702
157,dense,0.4250,False,1,1,1,0.5891,0.6868,0.6868,2.4818,1.3256,1.3152
158,dense,0.7583,False,1,1,1,0.7471,0.7732,0.7732,1.6319,1.0085,1.0005
159,very_dense,0.7361,False,1,1,1,0.7581,2.2809,2.2809,1.9514,0.6710,0.6629
160,very_dense,0.5889,False,1,1,1,0.8881,1.0882,1.0882,0.9461,0.6483,0.6470
161,dense,0.4333,False,1,1,1,0.8796,1.0350,1.0350,0.9127,0.6499,0.6494
162,dense,0.6361,False,1,1,1,0.8820,0.9091,0.9091,1.0362,0.7311,0.7300
163,dense,0.4278,False,1,1,1,0.9256,1.3455,1.3455,0.9007,0.4957,0.4925
164,dense,0.7694,False,0,1,1,0.4519,1.0062,1.0062,1.1868,0.5830,0.5818
165,very_dense,0.7194,False,1,1,1,0.8416,0.9962,0.9962,1.4221,0.8286,0.8260
166,sparse,0.4972,False,1,1,1,0.9056,0.8881,0.8881,0.4603,0.4373,0.4359
167,sparse,0.4778,False,1,1,1,0.8852,0.9790,0.9790,0.4509,0.4186,0.4036
168,dense,0.8472,False,1,1,1,0.8475,0.9714,0.9714,0.8983,0.6157,0.6192
169,sparse,0.1389,True,1,1,1,0.7591,0.8013,0.7591,0.8866,0.6465,0.8854
170,sparse,0.1556,True,1,1,1,0.6625,0.8807,0.6625,1.1163,0.6579,1.1211
171,sparse,0.1583,True,1,1,1,0.7410,0.7300,0.7410,0.8799,0.6772,0.9137
172,very_dense,0.8000,False,1,1,1,0.8111,0.8427,0.8427,2.3915,1.3261,1.3162
173,very_dense,0.9139,False,1,1,1,0.6023,0.8722,0.8722,3.7126,1.4843,1.4802
174,very_dense,0.7194,False,1,0,0,0.6735,2.2736,2.2736,3.2342,0.5626,0.5662
175,dense,0.3944,False,1,1,1,,,,1.5609,0.9521,0.9481
176,very_dense,0.5972,False,1,1,1,0.8802,1.0206,1.0206,1.0470,0.7390,0.7314
177,sparse,0.1056,True,1,1,1,0.8934,0.9399,0.8934,0.4741,0.4362,0.4789
178,very_dense,0.7417,False,1,0,0,0.7850,1.2332,1.2332,1.8921,0.5857,0.5625
179,dense,0.4528,False,1,1,1,0.7943,0.9232,0.9232,1.5259,0.8899,0.8846
180,very_dense,0.8667,False,1,1,1,0.8780,1.0070,1.0070,1.0000,0.6994,0.7124
181,sparse,0.4250,False,1,1,1,0.8916,0.8888,0.8888,0.5060,0.4578,0.4550
182,dense,0.7000,False,1,0,0,0.8397,1.1941,1.1941,1.0078,0.4980,0.4779
183,very_dense,0.6639,False,1,1,1,0.7622,1.0053,1.0053,2.3915,1.1092,1.1048
184,dense,0.4583,False,1,1,1,0.7273,0.7212,0.7212,1.8928,1.2526,1.2637
185,dense,0.7250,False,1,1,1,0.7316,0.7776,0.7776,1.8975,1.1540,1.1349
186,sparse,0.5778,False,1,1,1,0.9077,0.9658,0.9658,0.4984,0.4461,0.4400
187,dense,0.4972,False,1,1,1,0.8989,1.2344,1.2344,0.8352,0.5275,0.5277
188,sparse,0.3806,False,1,1,1,0.8341,0.8597,0.8597,0.6030,0.5152,0.5135
189,sparse,0.3500,False,1,1,1,0.8323,0.8227,0.8227,0.5633,0.4987,0.5003
190,very_dense,0.8389,False,1,0,0,0.8112,1.2738,1.2738,1.8411,0.5841,0.5867
191,dense,0.7611,False,1,1,1,0.7040,0.7327,0.7327,1.6415,1.0414,1.0317
192,dense,0.6639,False,1,1,1,0.8729,0.8470,0.8470,0.9416,0.7427,0.7432
193,dense,0.7528,False,1,1,1,0.6566,0.6159,0.6159,2.4213,1.4961,1.4906
194,very_dense,0.6750,False,1,1,1,0.7940,1.0229,1.0229,1.5008,0.8189,0.8172
195,sparse,0.5139,False,1,1,1,0.8865,0.8702,0.8702,0.4852,0.4449,0.4435
196,dense,0.7111,False,1,1,1,0.8632,0.9030,0.9030,0.9308,0.6977,0.6812
197,sparse,0.5917,False,1,1,1,0.8623,0.9098,0.9098,0.4727,0.4362,0.4283
198,dense,0.4639,False,1,1,1,0.7875,0.8359,0.8359,1.5448,1.0018,0.9903
199,very_dense,0.6500,False,1,1,1,0.8999,1.0209,1.0209,1.3477,0.8311,0.8275
200,dense,0.4583,False,1,1,1,0.8961,1.0172,1.0172,0.8083,0.5816,0.5792
201,very_dense,0.5861,False,1,1,1,0.5800,0.7978,0.7978,5.0350,1.9154,1.9074
202,dense,0.5778,False,0,1,1,0.6129,1.0446,1.0446,0.9997,0.5885,0.5813
203,very_dense,0.7528,False,1,1,1,0.8227,0.8649,0.8649,1.5039,0.9874,0.9919
204,dense,0.8889,False,1,1,1,0.8675,0.8562,0.8562,1.0517,0.7756,0.7715
205,sparse,0.6250,False,1,1,1,0.9140,0.9155,0.9155,0.4581,0.4312,0.4312
206,very_dense,0.8389,False,1,0,0,0.8552,0.5495,0.5495,1.0178,0.5868,0.5851
207,very_dense,0.7194,False,1,1,1,0.8670,1.3589,1.3589,1.4192,0.7557,0.7281
208,sparse,0.7639,False,1,1,1,0.9205,1.2601,1.2601,0.5020,0.4109,0.4074
209,very_dense,0.7556,False,1,1,1,0.6550,0.6441,0.6441,3.2292,1.9229,1.9224
210,sparse,0.5750,False,1,1,1,0.8573,1.3634,1.3634,0.5872,0.4334,0.4315
211,very_dense,0.5889,False,1,1,1,0.7883,1.3540,1.3540,1.8129,0.6483,0.6485
212,very_dense,0.6361,False,1,1,1,0.8388,0.9169,0.9169,1.3914,0.9210,0.8937
213,dense,0.8139,False,1,1,1,0.8487,0.9680,0.9680,0.9567,0.6511,0.6481
214,very_dense,0.6194,False,1,1,1,0.6696,0.7162,0.7162,2.8956,1.6187,1.6051
215,sparse,0.2389,True,1,1,1,0.5758,0.5972,0.5758,1.5933,1.0436,1.5652
216,sparse,0.6500,False,1,1,1,0.8182,0.9135,0.9135,0.5323,0.4624,0.4551
217,sparse,0.2222,True,1,1,1,0.8644,1.0623,0.8644,0.5282,0.4530,0.5267
218,dense,0.6278,False,1,1,1,0.8380,0.7671,0.7671,1.2314,0.9217,0.9137
219,very_dense,0.7722,False,1,1,1,0.9009,1.1364,1.1364,1.2478,0.7903,0.7904
220,sparse,0.4139,False,1,1,1,0.9248,0.9116,0.9116,0.4930,0.4581,0.4445
221,dense,0.6472,False,1,1,1,0.7844,0.7983,0.7983,1.6311,1.0262,1.0293
222,very_dense,0.7694,False,1,1,1,0.8743,1.0825,1.0825,0.9772,0.6634,0.6707
223,sparse,0.4556,False,1,1,1,0.6974,0.7119,0.7119,0.9519,0.7214,0.7026
224,very_dense,0.5667,False,1,1,1,0.8545,1.0087,1.0087,1.1568,0.7971,0.7999
225,sparse,0.3750,False,1,1,1,0.8709,0.8682,0.8682,0.5189,0.4773,0.4679
226,very_dense,0.7750,False,1,1,1,0.8250,0.9574,0.9574,1.4720,0.8643,0.8498
227,dense,0.4944,False,1,1,1,0.8431,0.8981,0.8981,0.9277,0.6905,0.6872
228,dense,0.7528,False,1,1,1,0.8251,1.1289,1.1289,0.9734,0.6228,0.6162
229,sparse,0.1417,True,1,1,1,0.6981,0.6535,0.6981,1.0159,0.7969,1.0105
230,dense,0.6611,False,1,1,1,0.8507,0.8840,0.8840,1.0466,0.7467,0.7473
231,very_dense,0.7194,False,1,1,1,0.7668,0.9590,0.9590,1.9229,1.0149,1.0177
232,sparse,0.1917,True,1,1,1,0.7381,0.7642,0.7381,0.7727,0.5966,0.7717
233,very_dense,0.7000,False,1,1,1,0.8718,1.0063,1.0063,1.4607,0.8659,0.8691
234,dense,0.5306,False,1,1,1,0.8150,1.0603,1.0603,1.1026,0.6639,0.6615
235,very_dense,0.8639,False,1,1,1,0.8594,1.0114,1.0114,1.0522,0.6713,0.6648
236,dense,0.6222,False,1,1,1,0.8320,0.8432,0.8432,1.3805,0.9487,0.9472
237,dense,0.7806,False,1,0,0,0.8815,1.0859,1.0859,0.8111,0.4833,0.4833
238,sparse,0.1583,True,1,1,1,0.9104,0.8741,0.9104,0.4877,0.4498,0.4904
239,dense,0.9056,False,1,1,1,0.8767,0.8670,0.8670,0.7852,0.6361,0.6283
240,sparse,0.6667,False,1,0,0,0.8940,0.3663,0.3663,0.5036,0.5545,0.5549
241,dense,0.6444,False,1,1,1,0.8595,0.8660,0.8660,0.9777,0.7157,0.7125
242,sparse,0.5444,False,1,1,1,0.7915,0.8687,0.8687,0.6292,0.4996,0.4888
243,dense,0.5500,False,1,1,1,0.7443,0.7227,0.7227,1.5938,1.1154,1.1169
244,dense,0.5694,False,1,1,1,0.8779,0.9671,0.9671,0.8673,0.6396,0.6370
245,sparse,0.2083,True,1,1,1,0.8415,0.8157,0.8415,0.6007,0.5326,0.6036
246,very_dense,0.7000,False,1,1,1,0.8072,0.9904,0.9904,1.7727,0.9921,0.9891
247,dense,0.4250,False,1,1,1,0.9139,1.0095,1.0095,1.0704,0.7420,0.7373
248,very_dense,0.7972,False,1,1,1,0.8767,1.0990,1.0990,0.9310,0.6624,0.6591
249,sparse,0.6417,False,1,1,1,0.8891,0.9010,0.9010,0.4891,0.4414,0.4365
250,sparse,0.5694,False,1,1,1,0.9333,1.0752,1.0752,0.5028,0.4245,0.4213
251,dense,0.5889,False,1,1,1,0.7423,0.7591,0.7591,1.8243,1.1719,1.1668
252,sparse,0.6806,False,1,1,1,0.8764,0.9271,0.9271,0.4717,0.4246,0.4210
253,sparse,0.4500,False,1,1,1,0.8574,0.8514,0.8514,0.5030,0.4596,0.4605
254,dense,0.4722,False,1,1,1,,,,0.9567,0.6829,0.6807
255,sparse,0.4167,False,1,1,1,0.8789,0.9465,0.9465,0.4704,0.4356,0.4309
256,very_dense,0.7250,False,1,1,1,0.7438,1.9463,1.9463,2.2032,0.7609,0.7568
257,sparse,0.1278,True,1,1,1,0.7904,0.7867,0.7904,0.7044,0.5793,0.7037
258,sparse,0.1778,True,1,1,1,0.8319,0.8605,0.8319,0.6293,0.5147,0.6314
259,dense,0.4139,False,1,1,1,0.8987,1.0246,1.0246,0.8077,0.5828,0.5793
260,very_dense,0.9056,False,1,0,0,0.8755,0.8316,0.8316,0.9677,0.5712,0.5695
261,sparse,0.1306,True,1,1,1,0.7819,0.7798,0.7819,0.7039,0.5822,0.7095
262,sparse,0.2111,True,1,1,1,0.8489,1.0579,0.8489,0.5130,0.4275,0.5119
263,very_dense,0.8861,False,0,0,0,0.1924,0.2177,0.2177,1.6320,0.5799,0.5791
264,very_dense,0.7444,False,1,1,1,,,,1.7433,0.9203,0.9197
265,dense,0.4278,False,1,1,1,0.7024,0.8015,0.8015,2.3029,1.2952,1.2930
266,dense,0.6639,False,0,1,1,,,,4.4998,0.5486,0.5961
267,dense,0.4611,False,1,0,0,0.8950,1.1635,1.1635,0.9636,0.5818,0.5752
268,dense,0.6722,False,1,1,1,0.6898,0.7447,0.7447,1.9737,1.2477,1.2450
269,dense,0.8000,False,1,1,1,0.9254,0.9799,0.9799,0.7718,0.5970,0.6020
270,sparse,0.1389,True,1,1,1,0.8325,0.8787,0.8325,0.5846,0.4821,0.5897
271,sparse,0.4361,False,1,1,1,0.9065,0.9373,0.9373,0.4687,0.4349,0.4256
272,sparse,0.2694,True,1,1,1,,,,0.4994,0.4443,0.4972
273,very_dense,0.7972,False,0,1,1,,,,3.1917,0.7925,0.7626
274,dense,0.5750,False,1,1,1,0.8407,0.8438,0.8438,1.6641,0.9642,0.9569
275,dense,0.3694,False,1,1,1,0.8611,0.8814,0.8814,0.9612,0.7006,0.6955
276,dense,0.4944,False,1,1,1,,,,1.0957,0.7344,0.7382
277,very_dense,0.9194,False,0,0,0,0.2212,0.5271,0.5271,1.5903,0.5781,0.5735
278,sparse,0.2000,True,1,1,1,0.7738,0.7694,0.7738,0.8126,0.6131,0.8083
279,sparse,0.2944,True,1,1,1,0.9052,1.1554,0.9052,0.5004,0.4196,0.4989
280,sparse,0.4694,False,1,1,1,0.8537,0.8132,0.8132,0.6215,0.5469,0.5377
281,dense,0.4000,False,1,1,1,0.7077,0.7516,0.7516,1.8809,1.0561,1.0502
282,very_dense,0.8667,False,1,1,1,0.8945,0.9196,0.9196,1.1717,0.8225,0.8203
283,dense,0.6889,False,1,1,1,0.6173,1.0012,1.0012,2.4194,1.0623,1.0488
284,dense,0.8917,False,1,1,1,0.6850,0.7423,0.7423,2.0627,1.1658,1.1808
285,very_dense,0.8667,False,1,1,1,0.8635,1.2704,1.2704,1.0406,0.6426,0.6386
286,sparse,0.3139,False,1,1,1,0.7164,0.7198,0.7198,0.7549,0.6171,0.6041
287,dense,0.6583,False,1,1,1,0.9052,1.0655,1.0655,0.7689,0.5669,0.5645
288,dense,0.6944,False,1,1,1,0.7549,0.7902,0.7902,1.3994,0.9271,0.9373
289,dense,0.7806,False,1,1,1,0.7631,0.8456,0.8456,1.3252,0.8354,0.8188
290,very_dense,0.7639,False,1,1,1,0.8486,0.9918,0.9918,1.2337,0.8142,0.8067
291,sparse,0.5833,False,1,1,1,0.7920,0.7899,0.7899,0.7107,0.5860,0.5775
292,very_dense,0.9056,False,0,1,1,0.1284,0.4914,0.4914,2.4432,0.6949,0.6892
293,sparse,0.4778,False,1,1,1,0.9123,1.0239,1.0239,0.4428,0.4065,0.4047
294,dense,0.9056,False,1,1,1,0.8442,0.8709,0.8709,0.9471,0.6979,0.6970
295,dense,0.4361,False,1,1,1,0.7412,0.7372,0.7372,2.0528,1.3436,1.3464
296,very_dense,0.8556,False,0,0,0,0.0608,0.2434,0.2434,3.2548,0.5827,0.5754
297,dense,0.8111,False,1,1,1,0.8756,0.9746,0.9746,0.8610,0.6095,0.6057
298,sparse,0.2333,True,1,1,1,0.7853,1.1562,0.7853,0.6185,0.4465,0.6159
299,sparse,0.1056,True,1,1,1,0.8889,0.8497,0.8889,0.4861,0.4563,0.5085
300,dense,0.6861,False,1,1,1,0.8977,0.8833,0.8833,0.9690,0.7283,0.7234
301,very_dense,0.7528,False,0,1,1,,,,2.6820,0.8529,0.8505
302,sparse,0.5333,False,1,1,1,0.8047,0.9326,0.9326,0.7026,0.5390,0.5312
303,very_dense,0.7694,False,1,1,1,0.8330,0.8958,0.8958,1.5208,0.9575,0.9537
304,dense,0.4500,False,1,1,1,0.7225,0.6756,0.6756,2.0562,1.3425,1.3463
305,sparse,0.4222,False,1,1,1,0.8196,0.8424,0.8424,0.6417,0.5237,0.5168
306,sparse,0.2806,True,0,1,0,,,,1.3352,0.5059,1.3267
307,dense,0.6250,False,0,1,1,,,,3.0346,0.7875,0.7762
308,sparse,0.1028,True,1,1,1,0.8874,0.8771,0.8874,0.5181,0.4611,0.5146
309,sparse,0.6056,False,1,1,1,0.9229,0.9598,0.9598,0.4325,0.4036,0.4047
310,dense,0.6667,False,1,1,1,0.9096,1.0556,1.0556,0.8748,0.6408,0.6235
311,very_dense,0.8500,False,1,1,1,0.7775,0.8746,0.8746,1.6344,0.9678,0.9662
312,sparse,0.7528,False,1,1,1,0.9150,0.8953,0.8953,0.5211,0.4571,0.4559
313,sparse,0.4500,False,1,1,1,0.9091,0.9058,0.9058,0.4661,0.4320,0.4317
314,sparse,0.4778,False,1,1,1,0.5454,0.5464,0.5464,1.8221,1.1512,1.1426
315,dense,0.6667,False,1,1,1,0.8203,0.8654,0.8654,1.6148,0.9890,0.9828
316,very_dense,0.8333,False,0,0,0,0.1888,0.5859,0.5859,2.7023,0.5718,0.5684
317,very_dense,0.7944,False,1,0,0,0.6848,1.5702,1.5702,2.3690,0.5587,0.5620
318,very_dense,0.8611,False,1,1,1,0.8194,0.8855,0.8855,1.1967,0.8113,0.8025
319,very_dense,0.8306,False,1,1,1,,,,2.1584,1.1975,1.2076
320,sparse,0.4639,False,1,1,1,0.8335,0.8408,0.8408,0.6060,0.5115,0.5072
321,sparse,0.2333,True,1,1,1,0.8600,0.8844,0.8600,0.5485,0.4819,0.5471
322,dense,0.5639,False,1,1,1,0.6275,0.6625,0.6625,3.0341,1.6176,1.5859
323,very_dense,0.6944,False,0,0,0,0.6869,0.4011,0.4011,0.8819,0.5929,0.5912
324,very_dense,0.7222,False,0,0,0,,,,3.6718,0.7538,0.7457
325,sparse,0.5139,False,1,1,1,0.8907,0.9176,0.9176,0.4798,0.4290,0.4290
326,sparse,0.6389,False,1,1,1,0.7048,0.7750,0.7750,0.8803,0.6349,0.6377
327,sparse,0.1861,True,1,1,1,0.9158,0.9152,0.9158,0.4340,0.4113,0.4329
328,sparse,0.5250,False,1,1,1,0.9117,1.0082,1.0082,0.4363,0.4039,0.4019
329,dense,0.8000,False,1,1,1,0.8845,0.9608,0.9608,0.8695,0.6335,0.6280
330,dense,0.8000,False,1,1,1,0.9016,0.9873,0.9873,0.7845,0.5705,0.5670
331,dense,0.4222,False,1,1,1,0.8547,0.8938,0.8938,0.9069,0.6648,0.6612
332,sparse,0.3472,False,1,1,1,0.8452,0.9278,0.9278,0.5247,0.4512,0.4448
333,very_dense,0.7083,False,1,0,0,0.9006,1.5193,1.5193,1.3475,0.5643,0.5816
334,dense,0.4806,False,1,1,1,0.8659,0.9443,0.9443,1.0357,0.6985,0.6960
335,very_dense,0.8222,False,1,1,1,0.6974,0.6905,0.6905,3.4058,1.8977,1.8917
336,very_dense,0.7833,False,1,1,1,0.8530,1.0722,1.0722,1.4227,0.7800,0.7717
337,sparse,0.0667,True,1,1,1,0.8084,0.8003,0.8084,0.5901,0.5122,0.5890
338,sparse,0.2778,True,1,1,1,0.9412,0.9935,0.9412,0.4778,0.4267,0.4773
339,very_dense,0.6694,False,1,1,1,0.8391,1.1232,1.1232,1.1406,0.7314,0.7317
340,dense,0.5639,False,1,1,1,0.8694,0.8704,0.8704,1.0232,0.7332,0.7337
341,sparse,0.4528,False,1,1,1,0.7953,0.8977,0.8977,0.5988,0.4785,0.4745
342,dense,0.5222,False,1,1,1,0.8924,1.0516,1.0516,0.8923,0.6217,0.6160
343,dense,0.4389,False,1,1,1,0.8300,0.9138,0.9138,1.3554,0.8571,0.8475
344,very_dense,0.8667,False,1,1,1,,,,1.7419,1.0253,1.0303
345,sparse,0.4250,False,1,1,1,0.6815,0.6857,0.6857,1.0548,0.7549,0.7420
346,very_dense,0.7083,False,1,1,1,0.8146,0.9100,0.9100,1.7718,1.0380,1.0328
347,very_dense,0.7667,False,1,0,0,0.7811,1.1224,1.1224,1.7189,0.5635,0.5694
348,sparse,0.3250,False,1,1,1,0.9190,0.8648,0.8648,0.4689,0.4469,0.4387
349,sparse,0.5917,False,1,1,1,0.9118,0.9257,0.9257,0.5145,0.4535,0.4511
350,dense,0.4167,False,1,0,0,0.8730,0.9751,0.9751,0.8261,0.4810,0.4790
351,sparse,0.2833,True,1,1,1,0.7798,0.7321,0.7798,0.7718,0.6396,0.7686
352,sparse,0.3889,False,1,1,1,0.8819,0.9401,0.9401,0.4973,0.4411,0.4358
353,dense,0.4167,False,1,1,1,0.8211,0.7890,0.7890,1.2066,0.8777,0.8714
354,very_dense,0.7028,False,1,1,1,0.8763,0.9730,0.9730,1.4438,0.8749,0.8732
355,very_dense,0.8611,False,1,0,0,0.8523,0.6072,0.6072,1.0190,0.5670,0.5692
356,sparse,0.4000,False,1,1,1,0.8062,0.7520,0.7520,0.8450,0.6612,0.6429
357,very_dense,0.7250,False,0,0,0,0.6367,0.3411,0.3411,0.8318,0.5977,0.5964
358,sparse,0.3972,False,1,1,1,0.8326,0.8224,0.8224,0.5535,0.4921,0.4870
359,very_dense,0.8806,False,1,1,1,0.8549,1.1034,1.1034,1.1674,0.7099,0.7065
360,very_dense,0.5583,False,1,0,0,0.8728,1.4894,1.4894,1.0654,0.5671,0.5650
361,very_dense,0.8583,False,0,0,0,,,,3.9647,0.5610,0.5607
362,sparse,0.5778,False,1,1,1,0.8476,1.1403,1.1403,0.4965,0.4208,0.4069
363,very_dense,0.7500,False,1,1,1,0.8705,0.9651,0.9651,1.1272,0.7740,0.7695
364,sparse,0.6444,False,1,1,1,0.8838,0.8767,0.8767,0.5262,0.4722,0.4728
365,dense,0.7167,False,1,1,1,0.7075,0.7143,0.7143,2.7650,1.5623,1.5515
366,dense,0.7417,False,1,1,1,,,,1.3022,0.8595,0.8546
367,sparse,0.4694,False,1,1,1,0.9218,0.9684,0.9684,0.4438,0.4116,0.4099
368,sparse,0.5694,False,1,1,1,0.6938,0.7374,0.7374,1.0988,0.7682,0.7599
369,very_dense,0.7167,False,1,1,1,0.8142,1.2648,1.2648,1.9073,0.8752,0.8704
370,dense,0.8972,False,1,1,1,0.8634,0.8985,0.8985,1.0826,0.7557,0.7536
371,dense,0.7083,False,1,1,1,0.8771,0.9954,0.9954,1.0255,0.6869,0.6757
372,dense,0.5694,False,1,1,1,0.8682,0.8645,0.8645,1.0857,0.8128,0.8069
373,dense,0.4528,False,1,1,1,0.8797,1.3144,1.3144,0.7724,0.4796,0.4803
374,very_dense,0.7222,False,1,1,1,0.9169,1.0225,1.0225,1.1117,0.7394,0.7348
375,sparse,0.4083,False,1,0,0,0.8913,0.9236,0.9236,0.4595,0.3953,0.3954
376,very_dense,0.8556,False,0,0,0,0.6992,0.4887,0.4887,1.0129,0.5769,0.5758
377,very_dense,0.6333,False,0,1,1,,,,2.8352,0.7045,0.7048
378,dense,0.6083,False,1,1,1,,,,1.3645,0.8476,0.8379
379,sparse,0.4694,False,1,1,1,0.8710,1.0018,1.0018,0.4906,0.4258,0.4229
380,sparse,0.4056,False,1,1,1,0.9287,1.0052,1.0052,0.4500,0.4108,0.4111
381,very_dense,0.7389,False,1,1,1,0.6903,0.6783,0.6783,2.8686,1.6713,1.6577
382,very_dense,0.8333,False,1,1,1,0.8336,0.9438,0.9438,1.4321,0.9125,0.9101
383,sparse,0.1639,True,1,1,1,0.7369,0.7230,0.7369,0.7422,0.6109,0.7398
384,sparse,0.1556,True,1,1,1,0.7433,0.7273,0.7433,0.8512,0.6894,0.8546
385,sparse,0.2222,True,1,1,1,0.8866,0.9517,0.8866,0.4844,0.4344,0.4855
386,sparse,0.2639,True,1,1,1,0.8613,1.1515,0.8613,0.5283,0.4277,0.5276
387,very_dense,0.7167,False,1,1,1,0.7976,1.0450,1.0450,1.4712,0.7995,0.7959
388,very_dense,0.8528,False,1,1,1,0.8197,0.8474,0.8474,1.5106,0.9941,0.9898
389,sparse,0.2306,True,1,1,1,0.6236,0.6474,0.6236,1.1694,0.8054,1.1636
390,very_dense,0.7278,False,1,0,0,0.8376,1.0812,1.0812,1.2229,0.5730,0.5704
391,sparse,0.5333,False,1,1,1,0.8745,1.0197,1.0197,0.4996,0.4268,0.4274
392,dense,0.6667,False,1,1,1,0.8207,0.8271,0.8271,1.2151,0.8305,0.8393
393,dense,0.7944,False,1,1,1,0.8206,1.1024,1.1024,1.1485,0.5436,0.5449
394,very_dense,0.7417,False,0,0,0,0.5958,0.3218,0.3218,0.8772,0.5962,0.6075
395,very_dense,0.5972,False,1,1,1,0.8078,0.9583,0.9583,1.5312,0.9107,0.9087
396,sparse,0.1833,True,1,1,1,0.8676,1.1003,0.8676,0.4904,0.4270,0.4891
397,sparse,0.3639,False,1,1,1,0.8504,0.9350,0.9350,0.6321,0.5095,0.5042
398,sparse,0.5917,False,1,1,1,0.8725,0.9780,0.9780,0.4969,0.4482,0.4567
399,sparse,0.3667,False,1,1,1,0.7789,0.7859,0.7859,0.7879,0.6327,0.6209
400,very_dense,0.7167,False,0,1,1,,,,3.1719,0.6571,0.6529
