trial,world,rho0,used_astar,astar,bc,adaptive,astar_route_efficiency,bc_route_efficiency,adaptive_route_efficiency
125,dense,0.7722,False,1,1,1,0.8550,0.9714,0.9714
126,sparse,0.4694,False,1,1,1,0.8954,0.8852,0.8852
127,very_dense,0.9139,False,1,0,0,0.8663,0.8694,0.8694
128,dense,0.4222,False,1,1,1,0.8124,0.8394,0.8394
129,dense,0.4944,False,1,1,1,0.6203,0.6497,0.6497
130,dense,0.8028,False,1,0,0,0.8759,1.1045,1.1045
131,dense,0.7194,False,0,1,1,0.3686,0.9142,0.9142
132,sparse,0.2028,True,1,1,1,0.8716,0.9411,0.8716
133,dense,0.6361,False,1,1,1,0.7965,0.8179,0.8179
134,very_dense,0.7528,False,0,0,0,0.6098,0.9649,0.9649
135,sparse,0.2000,True,1,1,1,0.8608,0.9036,0.8608
136,dense,0.5806,False,1,1,1,0.7844,1.0198,1.0198
137,sparse,0.4472,False,1,1,1,0.8805,0.9408,0.9408
138,dense,0.4472,False,1,1,1,0.7935,0.7586,0.7586
139,dense,0.4806,False,1,1,1,0.8406,0.9949,0.9949
140,very_dense,0.6639,False,1,1,1,0.7467,0.9617,0.9617
141,sparse,0.4361,False,1,1,1,0.9046,0.9800,0.9800
142,sparse,0.1917,True,1,1,1,0.8923,1.0241,0.8923
143,dense,0.7778,False,1,1,1,0.7881,0.9510,0.9510
144,very_dense,0.8556,False,0,0,0,0.6928,0.2382,0.2382
145,very_dense,0.6694,False,1,1,1,0.7949,0.9445,0.9445
146,sparse,0.7528,False,1,1,1,0.8763,0.9192,0.9192
147,sparse,0.7417,False,1,1,1,0.8876,0.9542,0.9542
148,very_dense,0.8556,False,1,1,1,0.8110,0.8630,0.8630
149,sparse,0.1528,True,1,1,1,0.8784,1.0148,0.8784
150,very_dense,0.7333,False,1,1,1,0.8050,0.9302,0.9302
151,sparse,0.4222,False,1,1,1,0.7297,0.7925,0.7925
152,very_dense,0.9000,False,1,1,1,0.8581,1.3345,1.3345
153,sparse,0.7778,False,1,1,1,0.8846,1.0169,1.0169
154,dense,0.3361,False,1,1,1,0.7111,0.6787,0.6787
155,dense,0.7194,False,1,1,1,0.8706,0.9810,0.9810
156,sparse,0.4361,False,1,1,1,0.8339,0.8437,0.8437
157,dense,0.4250,False,1,1,1,0.5891,0.6868,0.6868
158,dense,0.7583,False,1,1,1,0.7471,0.7732,0.7732
159,very_dense,0.7361,False,1,1,1,0.7581,2.2809,2.2809
160,very_dense,0.5889,False,1,1,1,0.8881,1.0882,1.0882
161,dense,0.4333,False,1,1,1,0.8796,1.0350,1.0350
162,dense,0.6361,False,1,1,1,0.8820,0.9091,0.9091
163,dense,0.4278,False,1,1,1,0.9256,1.3455,1.3455
164,dense,0.7694,False,0,1,1,0.4519,1.0062,1.0062
165,very_dense,0.7194,False,1,1,1,0.8416,0.9962,0.9962
166,sparse,0.4972,False,1,1,1,0.9056,0.8881,0.8881
167,sparse,0.4778,False,1,1,1,0.8852,0.9790,0.9790
168,dense,0.8472,False,1,1,1,0.8475,0.9714,0.9714
169,sparse,0.1389,True,1,1,1,0.7591,0.8013,0.7591
170,sparse,0.1556,True,1,1,1,0.6625,0.8807,0.6625
171,sparse,0.1583,True,1,1,1,0.7410,0.7300,0.7410
172,very_dense,0.8000,False,1,1,1,0.8111,0.8427,0.8427
173,very_dense,0.9139,False,1,1,1,0.6023,0.8722,0.8722
174,very_dense,0.7194,False,1,0,0,0.6735,2.2736,2.2736
175,dense,0.3944,False,1,1,1,,,
176,very_dense,0.5972,False,1,1,1,0.8802,1.0206,1.0206
177,sparse,0.1056,True,1,1,1,0.8934,0.9399,0.8934
178,very_dense,0.7417,False,1,0,0,0.7850,1.2332,1.2332
179,dense,0.4528,False,1,1,1,0.7943,0.9232,0.9232
