threshold,target_density,actual_density,trial,success,planning_time_ms,selected_planner,path_length,start_x,start_y,goal_x,goal_y
0.25,0.1,0.0974,17,True,35.08472442626953,rrt_star,16,50.38990335769433,30.30727460282876,15.409163451606457,85.94933744066702
0.25,0.1,0.0974,18,True,26.630163192749023,rrt_star,12,39.446143178891305,51.963509696936654,83.9458638416883,10.507021661840259
0.25,0.1,0.0974,19,True,6.009101867675781,rrt_star,16,94.2245727606184,59.50919168085983,34.66951298393124,39.268950840481956
0.25,0.1,0.0974,20,True,0.3197193145751953,rrt_star,7,69.7711210148592,8.37307914179773,42.35892279261591,24.937310503217955
0.25,0.1,0.0974,21,True,14.817953109741211,rrt_star,11,49.55264507083081,30.991307078474488,89.24789440655651,65.00864593592692
0.25,0.1,0.0974,22,True,6.782770156860352,rrt_star,13,61.40184798149933,44.04506278861906,18.368920151423552,85.49827743951454
0.25,0.1,0.0974,23,True,1.2292861938476562,rrt_star,5,55.90913888232999,11.403714681682455,78.47059068161154,14.05238281607234
0.25,0.1,0.0974,24,True,12.447357177734375,rrt_star,6,66.20953876610477,92.91558570963957,69.90263082700815,65.43517326830218
0.25,0.1,0.0974,25,True,2.9091835021972656,rrt_star,15,27.65084941013813,28.415989877095992,50.811181276793334,79.69164423985163
0.25,0.1,0.0974,26,True,13.202905654907227,rrt_star,8,66.97514507892728,74.22625328135396,72.67697204749004,27.379525835176327
0.25,0.1,0.0974,27,True,3.8225650787353516,rrt_star,13,39.96661010187521,60.345317492825494,85.23624316766859,41.919363549724665
0.25,0.1,0.0974,28,True,0.957489013671875,rrt_star,7,53.80407092742694,73.66057865474254,25.225580654779254,71.68707932708175
0.25,0.1,0.0974,29,True,5.470037460327148,rrt_star,12,59.401574167844885,64.99789748052162,87.44045688348686,15.0200424933162
0.25,0.1,0.0974,30,True,9.130716323852539,rrt_star,11,20.473781940643555,58.01347289144745,76.64055764308785,57.86641147876936
0.25,0.1,0.0974,31,True,9.315729141235352,rrt_star,13,73.17958915078633,47.43042580502384,37.0898971002752,47.48567300490126
0.25,0.1,0.0974,32,True,3.7267208099365234,rrt_star,10,32.54289600800245,12.05950605250818,78.93518723326187,37.478978525457606
0.25,0.1,0.0974,33,True,0.016927719116210938,rrt_star,3,53.18661610851212,34.777206033768586,49.065748776116926,32.890880373592935
0.25,0.1,0.0974,34,True,19.942522048950195,rrt_star,9,91.85576576953,25.397884946207434,59.02149628038126,6.746918349756558
0.25,0.1,0.0974,35,True,4.396677017211914,rrt_star,11,92.66385695110533,33.95775627080873,85.64750923737408,82.26739175372677
0.25,0.1,0.0974,36,True,3.8509368896484375,rrt_star,5,25.95565585839913,83.5602673379883,44.75889359359327,80.20127095856925
0.25,0.1,0.0974,37,True,62.29233741760254,rrt_star,7,51.24291789352651,22.146559921395255,31.864708178212496,40.80769535197363
0.25,0.1,0.0974,38,True,10.482549667358398,rrt_star,8,31.090580505314296,7.041741508943589,82.79310102523104,24.90138457924596
0.25,0.1,0.0974,39,True,15.027523040771484,rrt_star,14,67.03690897042836,68.0777000766235,7.994448576076055,13.989958655678507
0.25,0.1,0.0974,40,True,1.2085437774658203,rrt_star,10,46.098399872704526,17.66018797691278,26.595568045797517,45.39008236816582
0.25,0.1,0.0974,41,True,54.04829978942871,rrt_star,13,92.16165201042209,76.27844844231039,29.133109521688805,37.39379136146912
0.25,0.1,0.0974,42,True,4.769325256347656,rrt_star,17,91.3366195532682,73.70849776685361,15.773773748487095,76.76122299675825
0.25,0.1,0.0974,43,True,6.107330322265625,rrt_star,15,27.595233800568987,79.53896946663421,88.03646924272927,55.16000665483414
0.25,0.1,0.0974,44,True,0.44536590576171875,rrt_star,7,30.720930403533877,11.392792993874995,56.895391615038434,40.146909174701634
0.25,0.1,0.0974,45,True,27.882099151611328,rrt_star,9,58.79186915153086,49.29138443875777,89.69690776301333,77.46646039258698
0.25,0.1,0.0974,46,True,9.199380874633789,rrt_star,15,79.14314633204253,26.942258001068453,28.386213708912376,44.206526615637
0.25,0.1,0.0974,47,True,1.6181468963623047,rrt_star,9,49.85718308159716,42.33218070286408,70.4803816628324,14.092616850173371
0.25,0.1,0.0974,48,False,32.97162055969238,rrt_star,0,68.8362698580597,35.1172352502488,46.40223034059088,94.28538088709817
0.25,0.1,0.0974,49,True,3.5774707794189453,rrt_star,8,80.01564068525781,5.173755261053582,63.94627155854179,29.958080818204316
0.25,0.2,0.2044,0,True,74.82790946960449,rrt_star,23,87.95746571824893,9.94168372079003,59.866380350532296,72.88853906382336
0.25,0.2,0.2044,1,True,4.484415054321289,rrt_star,13,39.52549924877148,90.55599337020612,67.49825672110875,67.1720698240705
0.25,0.2,0.2044,2,True,9.14311408996582,rrt_star,12,7.213961263023919,38.695360046200875,35.54520763065885,74.91612183214346
0.25,0.2,0.2044,3,True,99.7762680053711,rrt_star,8,75.62966089020351,88.54689963604464,55.265166918310065,94.30431794744531
0.25,0.2,0.2044,4,False,33.379554748535156,rrt_star,0,37.9706049545416,63.60575692417903,81.56023189716694,43.452172591142904
