density,actual_density,success,selected_planner,planning_time_ms,path_length,euclidean_distance,smoothness,energy_consumption,safety_clearance,length_optimality,composite_score,start_x,start_y,goal_x,goal_y
0.35,0.348,False,ppo,11.573707751869158,0,38.64668001471504,0.0,0.0,0.0,0.0,0.0,42.70763734931538,25.99815489365188,22.352423133848937,58.84980828282314
0.35,0.348,True,ppo,11.662539253661786,20,51.10495325475639,0.8338279129873254,7.628946909793203,1.0414213562373096,0.885497442907606,0.7269551228758927,54.97958021211996,34.50801753463354,12.073646940835296,6.7447839821292
0.35,0.348,True,ppo,12.524658554996124,35,83.01243867810888,0.8366449596892457,13.576695873746798,1.1330529785569252,0.8464384157662138,0.7355154797397647,10.575152070539282,12.02268050931183,47.13568936058081,86.55047457535319
0.35,0.348,True,ppo,12.2357293951422,9,22.252719684475977,0.750202793037412,3.140814970815056,1.2491822985688092,0.883563316128356,0.7993926395755668,80.62624598586132,25.86366844766673,58.43463889944056,24.215606471348924
0.35,0.348,True,ppo,12.999753581609488,20,53.4016533904892,0.8429939671088424,7.797570471326051,1.2121320343559645,0.9158552012598968,0.785976078672531,76.20678039451055,53.360180786605696,36.908782632956765,89.51822217121142
0.35,0.348,True,ppo,12.761512639221715,9,22.975528422197968,0.8548564202967607,3.2980289090171317,1.0,0.9492908344970308,0.7617384698499083,45.836375296189885,9.35564919210066,37.65014493626415,30.82331182158729
0.35,0.348,True,ppo,9.226077025110415,12,27.041849726104218,0.685910544558731,4.085105791698997,0.9511844635310912,0.7992034837207179,0.665836857576008,73.50682616457577,58.59867202209697,75.42489354995917,85.57241210600694
0.35,0.348,True,ppo,11.861840398921546,31,71.6827621695718,0.7796435638588357,11.73312648655538,1.085704975790077,0.8256446780807143,0.7053851461132004,7.28665806531269,6.627343965569175,15.44879816664582,77.84390005490563
0.35,0.348,False,ppo,5.616506189225579,0,44.820173137163415,0.0,0.0,0.0,0.0,0.0,48.0487084010384,34.53010341191863,86.64117814308204,57.321970366048376
0.35,0.348,False,ppo,11.055277589181262,0,48.38572392547595,0.0,0.0,0.0,0.0,0.0,86.60374420679021,81.38848554628917,65.66978930856023,37.76569549210708
0.35,0.348,True,ppo,9.222024089472889,22,48.36040814307102,0.7802744087073145,8.307180349468306,1.1395939914484308,0.7801976850205186,0.7198473182031109,36.4903771428561,28.439383359018056,67.69702772120871,65.38358500751784
0.35,0.348,True,ppo,7.950566013382555,18,44.69304851343439,0.8465191389585414,6.905168459521617,1.1245911492844047,0.8837240467039673,0.7573768183708645,50.52641284763039,49.2926150589544,10.87966635261807,69.92278902294288
0.35,0.348,True,ppo,15.962381197078429,21,54.75547063168874,0.8117711231674278,8.135245076860523,1.0115543184342517,0.9034739686321565,0.7144704045965253,74.51136979280597,63.20661351653031,59.50244802565884,10.548339413732515
0.35,0.348,True,ppo,11.42470066225042,32,83.64589127799721,0.8377438068353811,12.734546848448971,1.095970869120796,0.9121590294897112,0.7388612934350679,12.929642269296831,52.07198176074377,88.13939050530188,15.464210755569672
0.35,0.348,True,ppo,13.75800970743992,39,87.03421103229287,0.7454702613668895,14.548413058179309,1.09101990965345,0.8046705132726644,0.6906864522195008,86.06431731127078,7.012914102834618,14.82151408376244,57.00708254576622
0.35,0.348,True,ppo,14.686416242830912,0,79.44050789347047,0.0,0.0,0.0,0.0,0.25,33.85167847356942,23.552164771659893,77.60946306467315,89.85488403754754
0.45,0.4527,False,ppo,12.836135767829289,0,52.65859930991919,0.0,0.0,0.0,0.0,0.0,47.88462201231724,12.690482977447694,94.04814473526751,38.0253848144447
0.45,0.4527,True,ppo,13.62442269904984,37,83.92494079188286,0.7777265449339064,13.570496205024732,1.0065578564086293,0.8237925443284757,0.6783154626349197,93.60060058177662,47.697130895692986,11.00882719924692,62.59661600256506
0.45,0.4527,True,ppo,17.541288288831726,31,68.10667121549345,0.7497571816013089,11.0410578868559,1.0534469112739475,0.8278032622807263,0.6897963165742602,31.698742295870176,90.66567941533803,93.5077266097974,62.06204114787242
